<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.30	11:30:00	3297.88	3299.05	3295.72	3296.90	1580	0	5
2025.05.30	11:45:00	3296.90	3297.59	3294.49	3295.80	1424	0	5
2025.05.30	12:00:00	3295.81	3298.56	3294.26	3297.92	1531	0	5
2025.05.30	12:15:00	3297.91	3299.25	3295.66	3296.24	1635	0	5
2025.05.30	12:30:00	3296.23	3298.12	3292.59	3297.92	1618	0	5
2025.05.30	12:45:00	3297.92	3298.18	3295.25	3295.62	1236	0	5
2025.05.30	13:00:00	3295.63	3300.44	3295.04	3299.80	1234	0	5
2025.05.30	13:15:00	3299.80	3300.66	3295.76	3296.51	1439	0	5
2025.05.30	13:30:00	3296.51	3296.74	3294.09	3294.40	1262	0	5
2025.05.30	13:45:00	3294.47	3296.20	3292.59	3295.29	1448	0	5
2025.05.30	14:00:00	3295.29	3297.28	3293.26	3293.60	1717	0	5
2025.05.30	14:15:00	3293.60	3295.09	3290.17	3293.46	1514	0	5
2025.05.30	14:30:00	3293.46	3293.97	3291.52	3292.02	1241	0	5
2025.05.30	14:45:00	3292.01	3294.84	3288.69	3294.02	1839	0	5
2025.05.30	15:00:00	3294.02	3306.77	3282.66	3302.70	3571	0	7
2025.05.30	15:15:00	3302.89	3305.49	3297.79	3302.17	3576	0	5
2025.05.30	15:30:00	3302.21	3306.17	3296.11	3304.55	3225	0	2
2025.05.30	15:45:00	3304.59	3305.66	3301.69	3304.09	2601	0	5
2025.05.30	16:00:00	3304.04	3308.24	3302.31	3302.75	2616	0	5
2025.05.30	16:15:00	3302.82	3302.94	3293.96	3294.78	3099	0	5
2025.05.30	16:30:00	3294.72	3299.35	3288.30	3289.74	3547	0	0
2025.05.30	16:45:00	3289.65	3291.02	3275.35	3276.76	3792	0	0
2025.05.30	17:00:00	3276.76	3286.67	3271.52	3282.24	3761	0	0
2025.05.30	17:15:00	3282.24	3287.34	3279.64	3283.60	2977	0	4
2025.05.30	17:30:00	3283.58	3285.25	3273.45	3278.79	3375	0	5
2025.05.30	17:45:00	3278.82	3282.98	3276.39	3282.75	3472	0	0
2025.05.30	18:00:00	3282.76	3287.70	3276.07	3283.88	3496	0	4
2025.05.30	18:15:00	3283.88	3288.90	3282.74	3287.00	2534	0	5
